row,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,kmeans_cluster,hier_cluster,clarans_cluster
86832,67.0,225000,235000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Purchased,22.96,2,7,1
26168,101.0,125000,375000.0,78.353,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Denied,97.52,3,1,2
30135,152.0,265000,285000.0,95.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,18.99,2,7,1
77708,115.0,215000,215000.0,100.0,50%-60%,Race Not Available,Home_Purchase,Principal_Residence,Originated,24.66,4,2,0
35206,180.0,465000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Incomplete,23.05,2,7,1
31678,105.0,245000,515000.0,46.422,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,35.04,0,6,6
67223,317.0,95000,905000.0,69.652,30%-<36%,White,Home_Improvement,Principal_Residence,Originated,30.61,6,4,4
89193,74.0,105000,155000.0,66.667,30%-<36%,White,Refinance,Principal_Residence,Originated,12.23,3,1,2
28642,103.0,85000,355000.0,25.14,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,16.84,0,6,6
11938,57.0,105000,285000.0,34.84,30%-<36%,White,Home_Improvement,Principal_Residence,Originated,6.96,2,6,1
41802,96.0,325000,455000.0,72.149,36%-<43%,White,CashOut_Refinance,Principal_Residence,Originated,63.12,0,6,6
33221,110.0,105000,515000.0,74.364,36%-<43%,Race Not Available,Other,Principal_Residence,Originated,37.52,6,4,4
45127,70.0,365000,375000.0,95.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,39.06,2,7,1
81241,170.0,1065000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,33.12,2,7,1
3318,87.0,165000,195000.0,80.0,20%-<30%,White,CashOut_Refinance,Principal_Residence,Denied,7.29,0,6,6
3721,151.0,345000,375000.0,78.353,Unknown,Joint,Home_Purchase,Principal_Residence,Withdrawn,32.93,2,7,1
19056,72.0,165000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,21.42,0,6,6
83722,162.0,145000,375000.0,78.353,Unknown,Asian,CashOut_Refinance,Principal_Residence,Incomplete,70.04,0,6,6
29396,209.0,325000,955000.0,33.98,<20%,Race Not Available,Refinance,Principal_Residence,Originated,55.58,0,6,6
34075,127.0,175000,335000.0,51.94,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,11.71,0,6,6
23594,30.0,25000,175000.0,63.107,50%-60%,White,Refinance,Principal_Residence,Originated,13.93,4,2,0
62444,130.0,165000,175000.0,95.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,10.85,2,7,1
88697,57.0,125000,185000.0,69.02,36%-<43%,White,Refinance,Principal_Residence,Originated,13.67,0,6,6
62976,101.0,155000,375000.0,78.353,Unknown,Black or African American,Refinance,Principal_Residence,Withdrawn,24.48,0,6,6
38192,52.0,95000,175000.0,55.882,<20%,White,CashOut_Refinance,Principal_Residence,Denied,14.83,0,6,6
14319,224.0,505000,1005000.0,50.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,19.07,2,7,1
21723,95.0,365000,385000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,37.58,2,7,1
89417,35.0,115000,145000.0,105.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,41.48,2,7,5
59746,95.0,485000,545000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,22.23,2,7,1
71534,206.0,115000,525000.0,88.14,36%-<43%,White,Other,Principal_Residence,Originated,37.49,6,4,4
31416,95.0,335000,355000.0,95.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,15.46,2,7,1
40447,87.0,55000,155000.0,32.258,30%-<36%,White,Home_Improvement,Principal_Residence,Originated,10.73,0,6,1
11289,83.0,75000,555000.0,91.713,43%-<50%,Race Not Available,Other,Principal_Residence,Denied,98.4,6,4,4
23904,105.0,325000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,14.69,2,7,1
29010,134.0,495000,495000.0,100.0,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Denied,32.35,2,7,1
