kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,_approved,anomaly_votes,iso_score,tract_minority_population_percent
0,50.0,145000,135000.0,101.01,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.40723123058719485,9.48
2,95.0,155000,375000.0,78.353,Unknown,Black or African American,Home_Purchase,Investment,Withdrawn,,0,0.40431017205383296,84.01
2,93.0,245000,375000.0,78.353,Unknown,Asian,Home_Purchase,Investment,Withdrawn,,0,0.42224440723334944,95.32
3,95.0,215000,245000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,,0,0.36002174535635173,44.76
5,333.0,35000,375000.0,78.353,Unknown,Race Not Available,Home_Improvement,Principal_Residence,Withdrawn,,0,0.46253478548962296,49.49
6,52.0,105000,535000.0,64.0,>60%,White,Refinance,Principal_Residence,Originated,1.0,0,0.41927478774440596,29.51
3,38.0,155000,275000.0,56.67,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.3805832873922222,36.3
2,95.0,255000,365000.0,104.24,Unknown,Race Not Available,Home_Purchase,Investment,Originated,1.0,1,0.5303770287733482,82.42
3,63.0,275000,505000.0,56.0,43%-<50%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.3724608602431374,12.42
3,158.0,645000,375000.0,78.353,Unknown,White,Refinance,Principal_Residence,Incomplete,,0,0.41338772080002284,30.13
0,95.0,535000,545000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.41499319203961366,29.48
0,95.0,175000,475000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.35124762272684446,37.92
0,95.0,155000,165000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.3773867742112411,7.13
3,92.0,285000,425000.0,66.194,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.4052847635229571,91.05
4,35.0,105000,105000.0,78.353,>60%,American Indian or Alaska Native,Home_Purchase,Principal_Residence,Denied,0.0,0,0.4576737309553353,99.67
0,72.0,295000,345000.0,85.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.39591574118931744,84.43
2,73.0,85000,155000.0,59.0,30%-<36%,White,CashOut_Refinance,Investment,Originated,1.0,0,0.3894882099326649,16.89
6,119.0,615000,685000.0,90.0,50%-60%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.40913521645020356,37.68
2,105.0,85000,375000.0,78.353,Exempt,White,Home_Purchase,Investment,Originated,1.0,0,0.3719015478232249,4.75
