row,kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,clarans_cluster
16214,3,182.0,645000,855000.0,77.0,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,67.27,6
92334,6,140.0,515000,575000.0,87.83,50%-60%,White,Home_Purchase,Principal_Residence,Originated,29.64,0
12741,0,94.0,265000,395000.0,67.089,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,18.23,1
28441,3,94.0,395000,805000.0,49.13,43%-<50%,White,Refinance,Principal_Residence,Originated,41.58,6
21487,0,65.0,295000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Withdrawn,12.96,1
64107,5,231.0,65000,895000.0,68.603,36%-<43%,White,CashOut_Refinance,Principal_Residence,Originated,18.44,4
51962,2,472.0,345000,375000.0,78.353,Unknown,White,Home_Purchase,Investment,Withdrawn,61.99,3
12382,1,1054.0,465000,555000.0,85.0,<20%,White,Home_Purchase,Principal_Residence,Originated,81.48,5
57639,6,50.0,105000,445000.0,83.14,>60%,White,Home_Improvement,Principal_Residence,Denied,16.12,0
11951,0,188.0,805000,1105000.0,72.727,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,20.07,1
94323,0,95.0,145000,145000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,9.96,1
84122,0,86.0,255000,325000.0,80.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,82.37,5
66269,0,96.0,285000,325000.0,90.0,30%-<36%,Black or African American,Home_Purchase,Principal_Residence,Preapproval_Approved_NotAccepted,0.0,1
2532,2,65.0,105000,135000.0,78.353,Unknown,White,Home_Purchase,Investment,Purchased,67.64,3
11901,0,62.0,215000,225000.0,96.5,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,70.12,5
2918,5,234.0,155000,375000.0,78.353,Exempt,Black or African American,Other,Principal_Residence,Originated,45.41,4
8633,0,110.0,305000,315000.0,97.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,14.1,1
86596,0,95.0,585000,725000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,42.94,1
68166,2,375.0,505000,375000.0,78.353,Unknown,White,Other,Investment,Incomplete,54.97,3
92791,0,93.0,145000,195000.0,75.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,15.0,1
25169,5,35.0,55000,375000.0,78.353,Unknown,White,Home_Improvement,Principal_Residence,Incomplete,33.34,4
